sample,stage,outer_held_out_record,inner_held_out_record,candidate,source,candidate_order,threshold,native_threshold,balanced_accuracy
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.6,0.5,0.4775670675300647
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.35,0.5,0.5233580018501388
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.65,0.5,0.48889916743755785
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.5,0.5,0.44841269841269843
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.45,0.5,0.42328042328042326
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.55,0.5,0.48148148148148145
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.4,0.5,0.4523809523809524
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.6,0.5,0.5066137566137566
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.35,0.5,0.4378306878306878
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.65,0.5,0.49603174603174605
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.5,0.5,0.4903846153846154
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.45,0.5,0.5317725752508361
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.55,0.5,0.5213210702341137
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.4,0.5,0.5037625418060201
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.6,0.5,0.5179765886287625
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.35,0.5,0.5025083612040134
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.65,0.5,0.5192307692307693
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.5,0.5,0.5074005550416281
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.45,0.5,0.4937557816836263
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.55,0.5,0.4343200740055504
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.4,0.5,0.5025439407955596
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.6,0.5,0.47802960222016655
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.35,0.5,0.5224329324699353
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_10,round1_classifier,6,0.65,0.5,0.4782608695652174
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_100,round1_classifier,7,0.5,0.5,0.41534391534391535
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_100,round1_classifier,7,0.45,0.5,0.4378306878306878
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_100,round1_classifier,7,0.55,0.5,0.4708994708994709
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_100,round1_classifier,7,0.4,0.5,0.5
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_100,round1_classifier,7,0.6,0.5,0.5
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_100,round1_classifier,7,0.35,0.5,0.5
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_100,round1_classifier,7,0.65,0.5,0.5
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_100,round1_classifier,7,0.5,0.5,0.46697324414715724
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_100,round1_classifier,7,0.45,0.5,0.49414715719063546
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_100,round1_classifier,7,0.55,0.5,0.5
