RowType,Task,Dataset,Fold,FeatureSet,Model,TrainN,TestN,TrainLeftN,TrainRightN,TestLeftN,TestRightN,Accuracy,BalancedAccuracy,AUC,F1,TN,FP,FN,TP,Accuracy_SD,BalancedAccuracy_SD,AUC_SD,F1_SD
fold,Task2,VisualCogB_Task-1,4,ERP+空间+频谱,ShrinkageLDA,67,16,33.0,34.0,8,8,0.4375,0.4375,0.46875,0.47058823529411764,3,5,4,4,,,,
fold,Task2,VisualCogB_Task-1,5,ERP+空间+频谱,ShrinkageLDA,67,16,33.0,34.0,8,8,0.4375,0.4375,0.375,0.47058823529411764,3,5,4,4,,,,
mean,Task2,VisualCogB_Task-1,,ERP+空间+频谱,ShrinkageLDA,,,,,,,0.4455882352941177,0.44722222222222224,0.42430555555555555,0.47402820777433785,16,25,21,21,0.08690013110155317,0.0904912007181218,0.1038304760025378,0.10047782164573225
fold,Task2,VisualCogB_Task-1,1,ERP+空间+频谱,LinearSVM,66,17,32.0,34.0,9,8,0.5882352941176471,0.5972222222222222,0.5,0.631578947368421,4,5,2,6,,,,
fold,Task2,VisualCogB_Task-1,2,ERP+空间+频谱,LinearSVM,66,17,33.0,33.0,8,9,0.47058823529411764,0.4722222222222222,0.3194444444444444,0.47058823529411764,4,4,5,4,,,,
fold,Task2,VisualCogB_Task-1,3,ERP+空间+频谱,LinearSVM,66,17,33.0,33.0,8,9,0.35294117647058826,0.35416666666666663,0.375,0.35294117647058826,3,5,6,3,,,,
fold,Task2,VisualCogB_Task-1,4,ERP+空间+频谱,LinearSVM,67,16,33.0,34.0,8,8,0.4375,0.4375,0.5,0.47058823529411764,3,5,4,4,,,,
fold,Task2,VisualCogB_Task-1,5,ERP+空间+频谱,LinearSVM,67,16,33.0,34.0,8,8,0.5,0.5,0.40625,0.5555555555555556,3,5,3,5,,,,
mean,Task2,VisualCogB_Task-1,,ERP+空间+频谱,LinearSVM,,,,,,,0.46985294117647064,0.4722222222222222,0.42013888888888895,0.49625042999656,17,24,20,22,0.08607967360307808,0.08879661008711405,0.07925494590634256,0.10450543544679589
fold,Task2,VisualCogB_Task-2,1,ERP,ShrinkageLDA,64,16,29.0,35.0,8,8,0.5,0.5,0.34375,0.5555555555555556,3,5,3,5,,,,
fold,Task2,VisualCogB_Task-2,2,ERP,ShrinkageLDA,64,16,29.0,35.0,8,8,0.5,0.5,0.65625,0.6666666666666666,0,8,0,8,,,,
fold,Task2,VisualCogB_Task-2,3,ERP,ShrinkageLDA,64,16,30.0,34.0,7,9,0.625,0.6190476190476191,0.5714285714285714,0.6666666666666666,4,3,3,6,,,,
fold,Task2,VisualCogB_Task-2,4,ERP,ShrinkageLDA,64,16,30.0,34.0,7,9,0.4375,0.40476190476190477,0.36507936507936506,0.5714285714285714,1,6,3,6,,,,
fold,Task2,VisualCogB_Task-2,5,ERP,ShrinkageLDA,64,16,30.0,34.0,7,9,0.5,0.47619047619047616,0.4285714285714286,0.6,2,5,3,6,,,,
mean,Task2,VisualCogB_Task-2,,ERP,ShrinkageLDA,,,,,,,0.5125,0.5,0.473015873015873,0.6120634920634921,10,27,12,31,0.06846531968814577,0.07715167498104597,0.13564205543871974,0.05232801557876706
fold,Task2,VisualCogB_Task-2,1,ERP,LinearSVM,64,16,29.0,35.0,8,8,0.4375,0.4375,0.359375,0.47058823529411764,3,5,4,4,,,,
fold,Task2,VisualCogB_Task-2,2,ERP,LinearSVM,64,16,29.0,35.0,8,8,0.5625,0.5625,0.796875,0.2222222222222222,8,0,7,1,,,,
fold,Task2,VisualCogB_Task-2,3,ERP,LinearSVM,64,16,30.0,34.0,7,9,0.5,0.5079365079365079,0.5555555555555556,0.5,4,3,5,4,,,,
fold,Task2,VisualCogB_Task-2,4,ERP,LinearSVM,64,16,30.0,34.0,7,9,0.625,0.6190476190476191,0.6349206349206349,0.6666666666666666,4,3,3,6,,,,
fold,Task2,VisualCogB_Task-2,5,ERP,LinearSVM,64,16,30.0,34.0,7,9,0.5,0.5079365079365079,0.4126984126984127,0.5,4,3,5,4,,,,
mean,Task2,VisualCogB_Task-2,,ERP,LinearSVM,,,,,,,0.525,0.526984126984127,0.5518849206349207,0.4718954248366013,23,14,24,19,0.07126096406869611,0.06795236635298672,0.1756142761347937,0.15957285779736854
fold,Task2,VisualCogB_Task-2,1,ERP+空间,ShrinkageLDA,64,16,29.0,35.0,8,8,0.375,0.375,0.40625,0.375,3,5,5,3,,,,
fold,Task2,VisualCogB_Task-2,2,ERP+空间,ShrinkageLDA,64,16,29.0,35.0,8,8,0.5,0.5,0.6875,0.6666666666666666,0,8,0,8,,,,
fold,Task2,VisualCogB_Task-2,3,ERP+空间,ShrinkageLDA,64,16,30.0,34.0,7,9,0.5625,0.5634920634920635,0.5555555555555556,0.5882352941176471,4,3,4,5,,,,
fold,Task2,VisualCogB_Task-2,4,ERP+空间,ShrinkageLDA,64,16,30.0,34.0,7,9,0.5,0.47619047619047616,0.4126984126984127,0.6,2,5,3,6,,,,
fold,Task2,VisualCogB_Task-2,5,ERP+空间,ShrinkageLDA,64,16,30.0,34.0,7,9,0.5,0.47619047619047616,0.4126984126984127,0.6,2,5,3,6,,,,
mean,Task2,VisualCogB_Task-2,,ERP+空间,ShrinkageLDA,,,,,,,0.4875,0.47817460317460314,0.4949404761904762,0.5659803921568628,11,26,15,28,0.06846531968814576,0.06783857538602682,0.12464637242810567,0.11115437931086934
fold,Task2,VisualCogB_Task-2,1,ERP+空间,LinearSVM,64,16,29.0,35.0,8,8,0.375,0.375,0.375,0.2857142857142857,4,4,6,2,,,,
fold,Task2,VisualCogB_Task-2,2,ERP+空间,LinearSVM,64,16,29.0,35.0,8,8,0.5,0.5,0.796875,0.2,7,1,7,1,,,,
fold,Task2,VisualCogB_Task-2,3,ERP+空间,LinearSVM,64,16,30.0,34.0,7,9,0.5625,0.5634920634920635,0.5555555555555556,0.5882352941176471,4,3,4,5,,,,
fold,Task2,VisualCogB_Task-2,4,ERP+空间,LinearSVM,64,16,30.0,34.0,7,9,0.625,0.6031746031746031,0.6666666666666666,0.7,3,4,2,7,,,,
fold,Task2,VisualCogB_Task-2,5,ERP+空间,LinearSVM,64,16,30.0,34.0,7,9,0.5,0.47619047619047616,0.4126984126984127,0.6,2,5,3,6,,,,
mean,Task2,VisualCogB_Task-2,,ERP+空间,LinearSVM,,,,,,,0.5125,0.5035714285714286,0.5613591269841269,0.47478991596638653,20,17,22,21,0.09270248108869579,0.08775585276856077,0.17565649573810938,0.21824647350533363
fold,Task2,VisualCogB_Task-2,1,ERP+空间+频谱,ShrinkageLDA,64,16,29.0,35.0,8,8,0.5,0.5,0.421875,0.42857142857142855,5,3,5,3,,,,
fold,Task2,VisualCogB_Task-2,2,ERP+空间+频谱,ShrinkageLDA,64,16,29.0,35.0,8,8,0.6875,0.6875,0.765625,0.7619047619047619,3,5,0,8,,,,
fold,Task2,VisualCogB_Task-2,3,ERP+空间+频谱,ShrinkageLDA,64,16,30.0,34.0,7,9,0.6875,0.6904761904761905,0.6666666666666667,0.7058823529411765,5,2,3,6,,,,
fold,Task2,VisualCogB_Task-2,4,ERP+空间+频谱,ShrinkageLDA,64,16,30.0,34.0,7,9,0.5625,0.5476190476190476,0.5238095238095238,0.631578947368421,3,4,3,6,,,,
