sample,stage,candidate,model,feature_set,scaler,parameter,gamma,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
raw_qc_pass,cue_locked,linear_svm_full_baseline_13_C_1,linear_svm,full_baseline_13,standard,1.0,,0.47498655913978494,0.46723193742735836,0.03386306894883536,0.48705471545049095,0.45570831576426163,4
raw_qc_pass,cue_locked,linear_svm_full_baseline_13_C_10,linear_svm,full_baseline_13,standard,10.0,,0.47498655913978494,0.46723193742735836,0.03386306894883536,0.4877704448992608,0.45570831576426163,4
raw_qc_pass,cue_locked,logistic_bandpower_only_9_l2_0.1,logistic,bandpower_only_9,standard,0.1,,0.4886177172481896,0.47980907595847466,0.0343142382293091,0.479250544612478,0.46748113352432047,4
raw_qc_pass,cue_locked,logistic_bandpower_only_9_l2_10,logistic,bandpower_only_9,standard,10.0,,0.45998347322800087,0.45255006133243875,0.040672847604302335,0.4690728910683428,0.4390856909507542,4
raw_qc_pass,cue_locked,logistic_bandpower_only_9_l2_100,logistic,bandpower_only_9,standard,100.0,,0.4937218839148563,0.4863899591004124,0.032136692562911344,0.474590010311179,0.4616007077006939,4
raw_qc_pass,cue_locked,logistic_drop_redundant_alpha_asym_12_l2_0.1,logistic,drop_redundant_alpha_asym_12,standard,0.1,,0.4777278774412991,0.47046385621778775,0.02492880996935054,0.48497586643207985,0.46047344589600075,4
raw_qc_pass,cue_locked,logistic_drop_redundant_alpha_asym_12_l2_10,logistic,drop_redundant_alpha_asym_12,standard,10.0,,0.4699153774412991,0.4628846384454618,0.03884075036459937,0.4784675229864869,0.4506130638198013,4
raw_qc_pass,cue_locked,logistic_drop_redundant_alpha_asym_12_l2_100,logistic,drop_redundant_alpha_asym_12,standard,100.0,,0.4623908958744788,0.4549874516051667,0.02181002644687909,0.47738992650147444,0.4314853805080632,4
raw_qc_pass,cue_locked,logistic_erp_only_3_l2_0.1,logistic,erp_only_3,standard,0.1,,0.5056699171604125,0.5077356550240454,0.06836899948270662,0.5115031423619151,0.4610358163370269,4
raw_qc_pass,cue_locked,logistic_erp_only_3_l2_10,logistic,erp_only_3,standard,10.0,,0.5189885752688173,0.5160545259122965,0.023098860790039644,0.5082167952677512,0.4598024688802863,4
raw_qc_pass,cue_locked,logistic_erp_only_3_l2_100,logistic,erp_only_3,standard,100.0,,0.5165395956769805,0.5022855063615933,0.02467337275127045,0.5045242086176407,0.37660879394964264,4
raw_qc_pass,cue_locked,logistic_full_baseline_13_l2_0.1,logistic,full_baseline_13,standard,0.1,,0.4777278774412991,0.47046385621778775,0.02492880996935054,0.48497586643207985,0.46047344589600075,4
raw_qc_pass,cue_locked,logistic_full_baseline_13_l2_10,logistic,full_baseline_13,standard,10.0,,0.47251954410796576,0.46586082892165226,0.03322257129510584,0.47733842786648834,0.4544369722016126,4
raw_qc_pass,cue_locked,logistic_full_baseline_13_l2_100,logistic,full_baseline_13,standard,100.0,,0.45481758832565283,0.44675147034073953,0.020977085411984182,0.4764956127602597,0.42292009615875586,4
