sample,stage,held_out_record,target_feature,model,n_train,n_test,heldout_rmse_standardized,training_aic,training_bic,predictors
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_Fz,Model-F_VHP_plus_Tcandidate,291,96,0.6519106055580511,635.6424410530219,657.6823806560509,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_Fz,Model-F_VHP_gamma_plus_Tcandidate,291,96,0.6282667512703161,617.2397364090898,642.9529992792902,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F4,Model-0_V,291,96,1.0154514866836313,821.7094657245085,832.7294355260229,V
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F4,Model-0_VplusGamma,291,96,1.019292332956142,822.3662888116817,837.0595818803677,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F4,Model-A1_no_H,291,96,1.0100725799719539,812.7810526104512,827.4743456791372,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F4,Model-A2_no_P,291,96,0.6430894029211287,686.2796426520141,700.9729357207001,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F4,Model-A3_no_T,291,96,0.6446558054695425,673.6579583306885,692.024574666546,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F4,Model-F_VHP_plus_Tcandidate,291,96,0.6459408648889102,675.1403345432494,697.1802741462784,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F4,Model-F_VHP_gamma_plus_Tcandidate,291,96,0.6476314104693845,675.6427315200077,701.3559943902081,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F3,Model-0_V,291,96,0.8819901816087478,831.5992923108901,842.6192621124045,V
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F3,Model-0_VplusGamma,291,96,0.887756260631997,783.633599204811,798.326892273497,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F3,Model-A1_no_H,291,96,0.8915586935175247,752.3238555566419,767.0171486253279,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F3,Model-A2_no_P,291,96,0.7874067987508472,793.034855841844,807.72814891053,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F3,Model-A3_no_T,291,96,0.8132607124611899,713.0412357091616,731.407852045019,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F3,Model-F_VHP_plus_Tcandidate,291,96,0.8212696448611039,708.3374196161959,730.3773592192249,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F3,Model-F_VHP_gamma_plus_Tcandidate,291,96,0.8040109081101515,704.6342306294002,730.3474934996007,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_Fz,Model-0_V,291,96,1.1410395035740326,831.284246041226,842.3042158427404,V
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_Fz,Model-0_VplusGamma,291,96,1.1294099652936624,818.6632298045689,833.3565228732549,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_Fz,Model-A1_no_H,291,96,1.1542814057851156,806.7040347347055,821.3973278033915,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_Fz,Model-A2_no_P,291,96,1.0758736084277094,788.4200529240278,803.1133459927138,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_Fz,Model-A3_no_T,291,96,1.0945197719809472,766.2233865129838,784.5900028488412,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_Fz,Model-F_VHP_plus_Tcandidate,291,96,1.08685541084957,767.7832512306449,789.8231908336738,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_Fz,Model-F_VHP_gamma_plus_Tcandidate,291,96,1.0827163486411535,769.5790634963582,795.2923263665587,V;H;P;G;T
