trial,channel,clipping_ratio,longest_clip_s,peak_to_peak,jump,drift,peak_to_peak_z,jump_z,drift_z,clip_abnormal,amplitude_abnormal,jump_abnormal,drift_abnormal,is_abnormal
16,F4,0.0,0.0,449.2866407263293,22.708476386663538,300.2822919050889,0.5114909328683517,0.09267323775381783,1.3618899325038631,False,False,False,False,False
17,F3,0.0,0.0,181.64339665827424,22.78782330052645,54.04745555809876,-0.47022285714285755,-0.6111318239525856,-0.40156248152163215,False,False,False,False,False
17,Fz,0.0,0.0,133.66903181506063,17.827115281910388,9.094377050431035,-0.14032701149425314,-0.43884042553192487,-0.4295585234093607,False,False,False,False,False
17,F4,0.0,0.0,178.68314641031498,20.50812542916003,3.204394598306351,-0.5313672188317354,-1.0693685782558775,-0.7738896072212728,False,False,False,False,False
18,F3,0.0,0.0,165.9266041046768,21.974517433432464,60.929274433508795,-0.5465673626373636,-0.9154132458738943,-0.3416039716172273,False,False,False,False,False
18,Fz,0.0,0.0,100.49591821164256,18.45883878843357,2.059967956054038,-0.7021519157088146,-0.1261382978723411,-0.8028412364945899,False,False,False,False,False
18,F4,0.0,0.0,140.7797360189212,23.20592050049591,20.614938582436764,-0.6774402789886661,0.35538172043012417,-0.6487201349922752,False,False,False,False,False
19,F3,0.0,0.0,135.16441596093705,22.15762569619291,20.553902494850206,-0.6959950549450549,-0.8469071096064054,-0.6933782891495021,False,False,False,False,False
19,Fz,0.0,0.0,130.89188982986195,17.325093461509304,2.853437094682249,-0.18736111111111034,-0.6873404255318379,-0.7607355942376876,False,False,False,False,False
19,F4,0.0,0.0,163.851377126726,21.234454871442917,36.118104829480444,-0.5885262423714044,-0.6857819593787983,-0.537263356916321,False,False,False,False,False
20,F3,0.1794871794871795,0.62890625,1330.9529259174487,32.297245746547645,1289.5551995117112,5.112561758241759,2.9466201862039494,10.36291775894354,True,True,False,True,True
20,Fz,0.0,0.0,271.3359273670558,19.78179598687717,139.8947127489128,2.191220498084296,0.5287234042553982,6.511394657863113,False,False,False,True,True
20,F4,0.3277591973244147,1.14453125,1460.5935759517815,25.822842755779405,1434.22598611429,4.408889537925022,1.7374217443252549,9.514141457266,True,True,False,True,True
21,F3,0.0,0.0,172.3353933012894,23.78576333257045,39.4140535591668,-0.515436593406594,-0.23777338129493128,-0.5290574061298917,False,False,False,False,False
21,Fz,0.0,0.0,126.98558022430768,17.00160219729904,11.703669794766029,-0.2535189655172405,-0.847468085106472,-0.2910957382953208,False,False,False,False,False
