Task,Dataset,window_start_ms,window_end_ms,window_center_ms,window_samples,offset_relative_center_ms,AUC_signed_mean_folds,AUC_discriminability,AUC_fold_SD_descriptive,Global_permutation_p,FWER_significant_0.05,Global_null_95_threshold,N_trials,N_left,N_right,N_permutations
Task2,VisualCogB_Task-1,300.00000000000006,400.0,350.00000000000006,13,150.00000000000003,0.4328959928959929,0.5671040071040071,0.22038070284329067,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,400.0,500.0,450.0,12,250.0,0.47999777999778,0.5200022200022201,0.20370787895934073,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,500.0,600.0,550.0,13,350.00000000000006,0.38838827838827833,0.6116117216117216,0.0569402107901347,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,600.0000000000001,700.0000000000001,650.0000000000001,13,450.0000000000001,0.3851670551670552,0.6148329448329448,0.10719090384067223,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,700.0000000000001,800.0,750.0,13,550.0,0.4056232656232656,0.5943767343767343,0.15267597628047822,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,800.0,900.0,850.0000000000001,13,650.0000000000001,0.5227195027195026,0.5227195027195026,0.18066682577571688,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,900.0,1000.0,950.0,12,750.0,0.3510811410811411,0.6489188589188589,0.12247407029926291,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,1000.0,1100.0,1050.0,13,850.0000000000001,0.5452114552114552,0.5452114552114552,0.13386938078709334,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,1100.0,1200.0000000000002,1150.0000000000002,13,950.0000000000002,0.47526806526806525,0.5247319347319348,0.11913455255559582,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,1200.0000000000002,1300.0000000000002,1250.0000000000002,13,1050.0000000000002,0.39341325341325345,0.6065867465867465,0.13902793493899726,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,1300.0,1400.0000000000002,1350.0,13,1150.0000000000002,0.3377211677211678,0.6622788322788322,0.08215111705988735,0.995,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,1400.0000000000002,1500.0000000000002,1450.0000000000002,12,1250.0000000000002,0.37533688533688536,0.6246631146631146,0.14330689612538858,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,1500.0,1600.0,1550.0,13,1350.0,0.40088023088023095,0.599119769119769,0.10034859148121639,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,1600.0,1700.0000000000002,1650.0000000000002,13,1450.0000000000002,0.38365079365079363,0.6163492063492064,0.1288083257482255,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,1700.0000000000002,1800.0000000000002,1750.0000000000002,13,1550.0000000000002,0.42567321567321564,0.5743267843267843,0.07840030526761413,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,1800.0,1900.0000000000002,1850.0,13,1650.0000000000002,0.4208169608169608,0.5791830391830393,0.11200978125283366,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,1900.0000000000002,2000.0,1950.0000000000002,12,1750.0000000000002,0.5366844266844267,0.5366844266844267,0.11606959602182332,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,2000.0,2100.0,2050.0,13,1849.9999999999998,0.41343434343434343,0.5865656565656565,0.1333720420064393,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,2100.0,2200.0,2150.0000000000005,13,1950.0000000000005,0.3061593961593962,0.6938406038406038,0.19281016646253746,0.95,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-2,0.0,100.0,50.0,13,-150.00000000000003,0.5759136002886003,0.5759136002886003,0.13505251509182437,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,100.0,200.0,150.00000000000003,13,-49.999999999999986,0.5362202380952381,0.5362202380952381,0.12593204888603185,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,200.0,300.00000000000006,250.0,13,49.999999999999986,0.5652678571428571,0.5652678571428571,0.11150191467881088,1.0,0,0.8153809523809523,80,37,43,199
