sample,stage,name,representation,l2,edge_components,shrinkage,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
raw_qc_pass,cue_locked,csp_e2_shrink0.01_l2_1,csp,1.0,2,0.01,0.47673812266842225,0.47386148366143743,0.05708228074360991,0.465549554558574,0.4650720710580514,4
raw_qc_pass,cue_locked,csp_e2_shrink0.01_l2_10,csp,10.0,2,0.01,0.4745304613780996,0.4707415158675566,0.0391975059158309,0.4669828881303596,0.4603140249137638,4
raw_qc_pass,cue_locked,csp_e2_shrink0.1_l2_0.1,csp,0.1,2,0.1,0.4746346280447663,0.4690186470945028,0.03486916983726536,0.4695597690702532,0.45600734649841934,4
raw_qc_pass,cue_locked,csp_e2_shrink0.1_l2_1,csp,1.0,2,0.1,0.4771346280447663,0.4713334619093176,0.03773016451991227,0.4701863652102628,0.4578832225860445,4
raw_qc_pass,cue_locked,csp_e2_shrink0.1_l2_10,csp,10.0,2,0.1,0.4694794409699364,0.46363861046446614,0.033304916957946615,0.47139612230770106,0.4500756132635063,4
raw_qc_pass,cue_locked,logistic_baseline_13_l2_0.1,baseline_13,0.1,0,0.0,0.4777278774412991,0.47046385621778775,0.02492880996935054,0.48497586643207985,0.46047344589600075,4
raw_qc_pass,cue_locked,logistic_baseline_13_l2_10,baseline_13,10.0,0,0.0,0.47251954410796576,0.46586082892165226,0.03322257129510584,0.47733842786648834,0.4544369722016126,4
raw_qc_pass,cue_locked,logistic_baseline_13_l2_100,baseline_13,100.0,0,0.0,0.45481758832565283,0.44675147034073953,0.020977085411984182,0.4764956127602597,0.42292009615875586,4
raw_qc_pass,cue_locked,logistic_erp_100ms_l2_0.1,erp_100ms,0.1,0,0.0,0.5092042462146149,0.5103540141121085,0.0759299542961641,0.5268810049973325,0.5016396877783016,4
raw_qc_pass,cue_locked,logistic_erp_100ms_l2_1,erp_100ms,1.0,0,0.0,0.4909824171604125,0.4927134549590609,0.08575376739186163,0.5152673784341992,0.48207860803882924,4
raw_qc_pass,cue_locked,logistic_erp_100ms_l2_10,erp_100ms,10.0,0,0.0,0.5142085664911126,0.5161638413835453,0.06843165772943699,0.5072985970785077,0.49875407232945845,4
raw_qc_pass,cue_locked,logistic_erp_100ms_l2_100,erp_100ms,100.0,0,0.0,0.49918744513934604,0.4987382069655428,0.04005654247528356,0.49592855658805396,0.4436285160834659,4
raw_qc_pass,cue_locked,logistic_erp_50ms_l2_0.1,erp_50ms,0.1,0,0.0,0.4911122311827957,0.494048501477965,0.047391451030166044,0.49068524175485323,0.48960110013155655,4
raw_qc_pass,cue_locked,logistic_erp_50ms_l2_1,erp_50ms,1.0,0,0.0,0.5097858377221857,0.5094409104873953,0.06841784656904339,0.5080869878029144,0.5066360626813484,4
raw_qc_pass,cue_locked,logistic_erp_50ms_l2_10,erp_50ms,10.0,0,0.0,0.525151483980689,0.5243297812099847,0.08611212557010492,0.5318551158244343,0.5144165693210929,4
raw_qc_pass,cue_locked,logistic_erp_50ms_l2_100,erp_50ms,100.0,0,0.0,0.5191947827518104,0.5187652225117535,0.030671971173566494,0.5124829930179915,0.48550435861826857,4
raw_qc_pass,cue_locked,logistic_spatial_100ms_l2_0.1,spatial_100ms,0.1,0,0.0,0.5092042462146149,0.5103540141121085,0.0759299542961641,0.5268810049973325,0.5016396877783016,4
