记录,条件,时间_ms,电极,实测,共享模型,逐电极增益,逐电极曲线拟合
VisualCogB_Task-2,left,406.25,F3,-41.08763496654323,4.23347325688019,3.9922152153681134,4.150268039549882
VisualCogB_Task-2,left,406.25,Fz,-1.0075771583645938,1.3439354553579896,1.1522353852857463,1.9577053811371985
VisualCogB_Task-2,left,406.25,F4,-26.841586244802567,0.1317495516308309,0.16563298656048728,-0.06772043062952793
VisualCogB_Task-2,left,414.0625,F3,-43.1812546464698,4.969627683099,4.686420032625011,4.851350520693766
VisualCogB_Task-2,left,414.0625,Fz,-2.9249218053789328,2.061953390025618,1.767839207394554,2.612791945600924
VisualCogB_Task-2,left,414.0625,F4,-28.921197311451756,0.6331107506074005,0.796027233092279,0.5540443555268151
VisualCogB_Task-2,left,421.875,F3,-44.30689781354607,5.750154094024742,5.422468272479254,5.59467342708105
VisualCogB_Task-2,left,421.875,Fz,-3.8837707560354064,2.8405903045894547,2.4354157056596772,3.3219435899615712
VisualCogB_Task-2,left,421.875,F4,-30.301399308003315,1.186571277411323,1.4919294799166374,1.2409441452226861
VisualCogB_Task-2,left,429.6875,F3,-44.68284897840051,6.580029020851326,6.2050528711683715,6.3848064288547866
VisualCogB_Task-2,left,429.6875,Fz,-3.713886972780958,3.6871007272810594,3.1611845450829668,4.090936792193845
VisualCogB_Task-2,left,429.6875,F4,-30.76567534641548,1.7992191964909292,2.262251891165909,2.00197415357986
VisualCogB_Task-2,left,437.5,F3,-44.73222065837946,7.450016647476938,7.025464424769305,7.213075464115826
VisualCogB_Task-2,left,437.5,Fz,-2.840855370757437,4.592979622204137,3.9378538523279354,4.912545379914137
VisualCogB_Task-2,left,437.5,F4,-30.55178320861455,2.465142718123791,3.0995613418776284,2.8296646623140758
VisualCogB_Task-2,left,445.3125,F3,-44.54501591714659,8.365771173379748,7.889034908668757,8.084680251955302
VisualCogB_Task-2,left,445.3125,Fz,-1.7043397567438812,5.565783964359843,4.771902660364353,5.792728143522419
VisualCogB_Task-2,left,445.3125,F4,-29.80557690873585,3.1913652723894668,4.012688688661028,3.732953628151779
VisualCogB_Task-2,left,453.125,F3,-44.3076023685227,9.31796138575989,8.78696487060302,8.99084229259394
VisualCogB_Task-2,left,453.125,Fz,-0.8161655760852067,6.596431502983595,5.65554429463012,6.723687677883202
VisualCogB_Task-2,left,453.125,F4,-29.03645789693321,3.9712068390013027,4.993234837495152,4.7034298538638915
VisualCogB_Task-2,left,460.9375,F3,-43.7804407288986,10.312312234862917,9.724652948544387,9.936807430776604
VisualCogB_Task-2,left,460.9375,Fz,-0.05821611708355315,7.692048584190958,6.594888584483812,7.710908448390636
VisualCogB_Task-2,left,460.9375,F4,-28.238931086664472,4.811045503637045,6.04921922633788,5.74924537467821
VisualCogB_Task-2,left,468.75,F3,-42.70968453398914,11.338912616989623,10.69275284272572,10.913239329186869
VisualCogB_Task-2,left,468.75,Fz,1.0792750396686164,8.842368987255494,7.581133679433175,8.745488496169024
VisualCogB_Task-2,left,468.75,F4,-27.16906062039926,5.7029389331124385,7.170655608306477,6.86041526751363
VisualCogB_Task-2,left,476.5625,F3,-40.75681273813926,12.403175587364407,11.696369061680441,11.92507678185591
VisualCogB_Task-2,left,476.5625,Fz,3.323615748592251,10.053606407937531,8.619606881870205,9.8320319473055
VisualCogB_Task-2,left,476.5625,F4,-25.190976329239174,6.65222713767281,8.364258160081308,8.043799151667635
VisualCogB_Task-2,left,484.375,F3,-38.32132426744431,13.49440103504836,12.725411272124424,12.962229685440336
VisualCogB_Task-2,left,484.375,Fz,6.447919339297035,11.314076803744735,9.700290818164754,10.960348890514483
VisualCogB_Task-2,left,484.375,F4,-22.586027952991742,7.649535537186452,9.618239746219247,9.2876242960137
VisualCogB_Task-2,left,492.1875,F3,-35.95519405174425,14.617648343445985,13.784650551136103,14.029287032184973
VisualCogB_Task-2,left,492.1875,Fz,9.681488487198152,12.629098575868868,10.827745247158486,12.134194311230218
VisualCogB_Task-2,left,492.1875,F4,-19.927501868679748,8.699225081162924,10.938083545471514,10.59754074149869
VisualCogB_Task-2,left,500.0,F3,-34.243272709058054,15.761477871797487,14.863299263262805,15.11545124061215
VisualCogB_Task-2,left,500.0,Fz,12.220879104145371,13.985715992712905,11.990862377994153,13.342226452816417
VisualCogB_Task-2,left,500.0,F4,-17.80737861032248,9.790661916229132,12.310419140520334,11.960205164083613
VisualCogB_Task-2,left,507.8125,F3,-33.07132695263667,16.930651614421787,15.965848000394145,16.22501818573173
VisualCogB_Task-2,left,507.8125,Fz,14.220316788925599,15.388494271559987,13.193556054849532,14.587478413120701
VisualCogB_Task-2,left,507.8125,F4,-15.783433900603864,10.927392111831104,13.739705051882673,13.38025147649902
VisualCogB_Task-2,left,515.625,F3,-32.2186875686127,18.113068831353782,17.080885595285288,17.346556211847066
VisualCogB_Task-2,left,515.625,Fz,16.165662230148246,16.82336328990891,14.423763125756592,15.857592655240587
VisualCogB_Task-2,left,515.625,F4,-13.361702498939765,12.097695278758394,15.211204529970077,14.842974516426166
VisualCogB_Task-2,left,523.4375,F3,-31.257855254779752,19.313329067602595,18.212749394310475,18.48418823527139
VisualCogB_Task-2,left,523.4375,Fz,18.630236009647668,18.294380147227024,15.684962055646306,17.15509327149776
VisualCogB_Task-2,left,523.4375,F4,-10.061689405567734,13.304556814203213,16.728671093125747,16.35231705019327
VisualCogB_Task-2,left,531.25,F3,-30.254230614767106,20.518867439292713,19.349590535367636,19.62602994136021
VisualCogB_Task-2,left,531.25,Fz,21.546371323673373,19.78671626233865,16.964439543069936,18.466923361393253
VisualCogB_Task-2,left,531.25,F4,-6.265236103112104,14.53553132732248,18.276456580022366,17.892674114909077
VisualCogB_Task-2,left,539.0625,F3,-29.10887105130204,21.734319576658685,20.495780431249422,20.776223594523536
VisualCogB_Task-2,left,539.0625,Fz,24.80699056255517,21.304292420216502,18.265557042984927,19.795436845519948
VisualCogB_Task-2,left,539.0625,F4,-2.30232363309418,15.793423538344138,19.8580874601011,19.467771928748075
VisualCogB_Task-2,left,546.875,F3,-27.675164151163344,22.946829206135384,21.639195549827626,21.922603640023212
VisualCogB_Task-2,left,546.875,Fz,28.246023392139488,22.83183656142126,19.57522081891548,21.127168915557643
VisualCogB_Task-2,left,546.875,F4,1.4516271816355748,17.065383707373684,21.457407070560656,21.061499128031095
VisualCogB_Task-2,left,554.6875,F3,-25.381259958998122,24.16121520399595,22.784380197841305,23.069476027617842
VisualCogB_Task-2,left,554.6875,Fz,32.17361615356462,24.373381674080893,20.8968884311382,22.46454058216885
VisualCogB_Task-2,left,554.6875,F4,5.482763749391142,18.35428386163215,23.07802635284088,22.67767586599731
VisualCogB_Task-2,left,562.5,F3,-22.267201197934526,25.36447438172048,23.919072186050737,24.204533012399786
VisualCogB_Task-2,left,562.5,Fz,36.65685114923542,25.913445637996816,22.217286135891847,23.793910242491105
VisualCogB_Task-2,left,562.5,F4,10.135384228493155,19.647098599996973,24.70356775415506,24.299982400022717
VisualCogB_Task-2,left,570.3125,F3,-18.737394095633533,26.561737837861173,25.048110039872657,25.332366181245995
VisualCogB_Task-2,left,570.3125,Fz,41.61044384298377,27.456403322353633,23.540164821980287,25.117989074341548
VisualCogB_Task-2,left,570.3125,F4,15.619544952705345,20.94699811638334,26.338017156121982,25.932629414693995
VisualCogB_Task-2,left,578.125,F3,-15.517733672158744,27.739961016215027,26.159192576427884,26.44062560415849
VisualCogB_Task-2,left,578.125,Fz,46.50824253824465,28.986773552305536,24.852251698486796,26.423152338726783
VisualCogB_Task-2,left,578.125,F4,21.30070456421582,22.240999398735276,27.96505033502098,27.559357566675047
VisualCogB_Task-2,left,585.9375,F3,-12.542513954389046,28.904663327041376,27.25752470956993,27.53426906147774
VisualCogB_Task-2,left,585.9375,Fz,51.18646445013113,30.509431300731844,26.157726259332087,27.712555578996973
VisualCogB_Task-2,left,585.9375,F4,26.823876754241052,23.532734874667547,29.589234461936687,29.184967504120156
VisualCogB_Task-2,left,593.75,F3,-9.617275405787785,30.042835996414194,28.330839038548085,28.60099394750609
VisualCogB_Task-2,left,593.75,Fz,55.493339649168284,32.009020422119065,27.443422534236166,28.97274174638904
VisualCogB_Task-2,left,593.75,F4,31.77703519767075,24.809381936342504,31.19444710687062,30.793404127327733
VisualCogB_Task-2,left,601.5625,F3,-6.636633872594999,31.160465899769925,29.38478107149618,29.64621283038166
VisualCogB_Task-2,left,601.5625,Fz,59.42417185424852,33.49101893390039,28.71403689656472,30.207460526151355
VisualCogB_Task-2,left,601.5625,F4,36.200144487561744,26.075123848182393,32.78594790472846,32.39016275521571
VisualCogB_Task-2,left,609.375,F3,-4.361228926353647,32.244633795351824,30.40716770712849,30.6577289428849
VisualCogB_Task-2,left,609.375,Fz,62.52198601214184,34.94026874184884,29.95657352990447,31.403534873814348
VisualCogB_Task-2,left,609.375,F4,39.726122954094684,27.317361146226013,34.34789474342092,33.95946758892851
VisualCogB_Task-2,left,617.1875,F3,-3.176450577591029,33.301789819412484,31.404081639340088,31.641412680548758
VisualCogB_Task-2,left,617.1875,Fz,64.75477394876215,36.36286533763496,31.176258703396506,32.565344104346316
VisualCogB_Task-2,left,617.1875,F4,42.528537358023144,28.5408443936914,35.886260633662346,35.50753280491666
VisualCogB_Task-2,left,625.0,F3,-2.835206206636244,34.319087549725666,32.3634089255952,32.5851629515817
VisualCogB_Task-2,left,625.0,Fz,66.51908163547743,37.74384418208563,32.360262570427864,33.68000136266774
VisualCogB_Task-2,left,625.0,F4,44.91049142243903,29.733193867174023,37.38548013726711,37.01885684990469
VisualCogB_Task-2,left,632.8125,F3,-2.2986608372024815,35.30347094124898,33.29169790694354,33.49533879023784
VisualCogB_Task-2,left,632.8125,Fz,68.72829674774316,39.08994989620892,33.51436745206611,34.75258035705189
VisualCogB_Task-2,left,632.8125,F4,47.68749618763537,30.89974338708504,38.85225969511785,38.50037530263948
VisualCogB_Task-2,left,640.625,F3,-1.3031851432560664,36.24225143220775,34.176982863593786,34.36001958293806
VisualCogB_Task-2,left,640.625,Fz,71.530800940237,40.386489233130106,34.625975732484044,35.770617241561176
VisualCogB_Task-2,left,640.625,F4,50.9101847021926,32.028377622691394,40.27136594076326,39.93689098203516
VisualCogB_Task-2,left,648.4375,F3,-0.20547461923565738,37.14292123492265,35.02632853534375,35.18611954795817
VisualCogB_Task-2,left,648.4375,Fz,74.49867156486576,41.64089627180514,35.701460977141856,36.739975989408975
VisualCogB_Task-2,left,648.4375,F4,54.33407084870917,33.12502553728502,41.65025346148074,41.336062319991655
VisualCogB_Task-2,left,656.25,F3,-0.013922695699083316,37.99292009691496,35.82789026094671,35.961893694241866
VisualCogB_Task-2,left,656.25,Fz,76.6086396986142,42.838698748177144,36.72841538636836,37.648597517092384
VisualCogB_Task-2,left,656.25,F4,56.94813049839774,34.17777709218885,42.973947379568244,42.68292932908664
VisualCogB_Task-2,left,664.0625,F3,-1.1015139629176975,38.800220875011654,36.58918676137419,36.69476575860525
VisualCogB_Task-2,left,664.0625,Fz,77.33228561704858,43.98792766003693,37.71372449756249,38.50305250143463
VisualCogB_Task-2,left,664.0625,F4,58.20098621638772,35.19306421927746,44.25053500033547,43.98576874783881
VisualCogB_Task-2,left,671.875,F3,-3.458452091893318,39.55240185013892,37.29850464713188,37.373179323593604
VisualCogB_Task-2,left,671.875,Fz,76.51044098041434,45.07432244660569,38.64516198487296,39.291676452668916
VisualCogB_Task-2,left,671.875,F4,57.717603187695424,36.15915375951537,45.46526358818721,45.229814275242695
VisualCogB_Task-2,left,679.6875,F3,-6.419211762749441,40.25802968694282,37.96392250900834,38.00516621762431
VisualCogB_Task-2,left,679.6875,Fz,74.71937051258969,46.10661513217116,39.530214243071164,40.02185326579468
VisualCogB_Task-2,left,679.6875,F4,56.05351395599914,37.08303939518753,46.62692624193701,46.42400535367455
VisualCogB_Task-2,left,687.5,F3,-9.62677578201836,40.90494212180646,38.5739710990979,38.579464150597445
VisualCogB_Task-2,left,687.5,Fz,72.38829790415059,47.070871961646176,40.35693499801583,40.682433173879666
VisualCogB_Task-2,left,687.5,F4,53.60455253533795,37.95323338314132,47.72107869180876,47.55382753183938
VisualCogB_Task-2,left,695.3125,F3,-12.521206531967508,41.50230774602031,39.13729625236827,39.10471906549961
VisualCogB_Task-2,left,695.3125,Fz,70.110482962576,47.97651747467103,41.13340437322322,41.28160805600809
VisualCogB_Task-2,left,695.3125,F4,51.116484386753484,38.777265664264945,48.757188678922276,48.62884702260593
VisualCogB_Task-2,left,703.125,F3,-14.892700111727098,42.03814349064848,39.642597618698176,39.569890817897964
VisualCogB_Task-2,left,703.125,Fz,68.15187101667446,48.80983681430354,41.84786375434694,41.80863126567033
VisualCogB_Task-2,left,703.125,F4,48.809142046329704,39.543792253867736,49.72099292207971,49.63469024236008
VisualCogB_Task-2,left,710.9375,F3,-16.567272419450237,42.522183304204276,40.0990543555323,39.98420717611876
VisualCogB_Task-2,left,710.9375,Fz,66.7794097869179,49.58088919391007,42.50893740382015,42.272426763042276
VisualCogB_Task-2,left,710.9375,F4,46.93052325844112,40.26081761933934,50.622555682276996,50.58148423166578
VisualCogB_Task-2,left,718.75,F3,-17.983151224431737,42.94271722976303,40.495624015738386,40.33693360164016
VisualCogB_Task-2,left,718.75,Fz,65.79397520058626,50.276274677188994,43.10513690533313,42.662709013261946
VisualCogB_Task-2,left,718.75,F4,45.14124623371183,40.917203952382394,51.44787303750019,51.455061727047465
VisualCogB_Task-2,left,726.5625,F3,-19.126206379215073,43.3101832157175,40.84214990716855,40.63799879530146
VisualCogB_Task-2,left,726.5625,Fz,65.39504952489429,50.90684204391903,43.64576364652023,42.98924803982262
VisualCogB_Task-2,left,726.5625,F4,43.78157717519082,41.521544419114676,52.207749934336334,52.266229930724734
VisualCogB_Task-2,left,734.375,F3,-20.081103130319715,43.61318310480212,41.12788359755345,40.876996969435574
VisualCogB_Task-2,left,734.375,Fz,65.5357862905501,51.4595494582847,44.11963609925782,43.24223820504547
VisualCogB_Task-2,left,734.375,F4,42.980112163502376,42.06293856136089,52.88848088934395,53.00106214062246
VisualCogB_Task-2,left,742.1875,F3,-20.903414137782345,43.86276589884298,41.36324430562338,41.06445793289572
VisualCogB_Task-2,left,742.1875,Fz,65.85633652708817,51.945926988440284,44.53663951643688,43.432171065974316
VisualCogB_Task-2,left,742.1875,F4,42.69867917218382,42.55048386603756,53.50150411710957,53.67095399904685
VisualCogB_Task-2,left,750.0,F3,-22.18114884632779,44.04775330890769,41.53769058492854,41.19020626856394
VisualCogB_Task-2,left,750.0,Fz,65.35058736816946,52.353188190582756,44.885811333796106,43.54958312698595
VisualCogB_Task-2,left,750.0,F4,41.91559156861076,42.9734408177133,54.03331578670684,54.262130428172156
VisualCogB_Task-2,left,757.8125,F3,-23.980601852977152,44.17982912718361,41.66224025009741,41.265383433961155
VisualCogB_Task-2,left,757.8125,Fz,63.75872204438107,52.69358588003158,45.17765663728413,43.605672989024725
VisualCogB_Task-2,left,757.8125,F4,40.297794629239284,43.341451937909916,54.49603983852363,54.78662129080033
VisualCogB_Task-2,left,765.625,F3,-26.306227669832555,44.24814120498454,41.72665967679106,41.280134767207706
VisualCogB_Task-2,left,765.625,Fz,61.4047933145473,52.95473417186358,45.40155635685986,43.591411123948475
VisualCogB_Task-2,left,765.625,F4,37.89939655373751,43.644065788229376,54.87653572811189,55.23096323749802
VisualCogB_Task-2,left,773.4375,F3,-28.632920530684437,44.26504953942173,41.742604461091865,41.246246343940854
VisualCogB_Task-2,left,773.4375,Fz,59.24933648932601,53.14967864357098,45.568695157947104,43.51874067461311
VisualCogB_Task-2,left,773.4375,F4,35.57493264525244,43.891542456519666,55.187704277112495,55.6079210224858
VisualCogB_Task-2,left,781.25,F3,-30.7750318766034,44.21993733195248,41.70006275868086,41.15409102084684
