dataset,condition,channel,window,window_start_ms,window_end_ms,n_clipped_only,n_sqi_retained,valid_erp_rms,clean_erp_rms,clean_vs_clipped_only_rmse,clean_vs_clipped_only_nrmse,clean_vs_equal_n_random_mean_rmse,clean_outside_stratified_random_pointwise_95_pct,random_band_mean_width,bootstrap_repeats,bootstrap_blocks,interpretation
VisualCogA_Task-2,left,F4,target_candidate_250_500ms,2450.0,2700.0,48,45,40.988006455913286,37.5186608705709,3.5703959547110133,0.08710830956248952,3.4763897255188088,0.0,16.07272999435663,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,F3,cue_onset_0_200ms,0.0,200.0,37,35,18.974942712590213,16.320693174691556,2.7094727268145786,0.1427921426617428,2.7873394311338293,0.23076923076923078,7.803529317562397,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,Fz,cue_onset_0_200ms,0.0,200.0,37,35,7.410351555600418,7.066026485623199,0.3909076915810431,0.052751571723424144,0.5394954834965081,0.0,5.152060752877822,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,F4,cue_onset_0_200ms,0.0,200.0,37,35,12.042776870055722,11.45578873948485,0.6257193296085128,0.051958060533726196,0.8755808015332418,0.0,6.410572229898891,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,F3,cue_offset_200_800ms,200.0,800.0,37,35,86.13715753065006,78.58771379683539,7.593260195242674,0.08815313173691361,8.200942661195787,0.11688311688311688,18.91112765522745,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,Fz,cue_offset_200_800ms,200.0,800.0,37,35,66.28869037688261,63.01225147031343,3.367144157276694,0.05079515281012317,3.123716327707601,0.0,9.403788456978736,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,F4,cue_offset_200_800ms,200.0,800.0,37,35,90.65666341547372,85.45560922562068,5.327296883071668,0.058763434284549006,5.517058644815757,0.16883116883116883,13.226841573591356,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,F3,cue_full_0_800ms,0.0,800.0,37,35,75.08385102954814,68.4417196034024,6.704952186739543,0.08929952439574401,7.227691657511429,0.14563106796116504,16.10726788067122,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,Fz,cue_full_0_800ms,0.0,800.0,37,35,57.43551997967296,54.5973809171479,2.917927233715652,0.05080353124248439,2.7144040887718273,0.0,8.330536803516368,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,F4,cue_full_0_800ms,0.0,800.0,37,35,78.61700810377876,74.11071623651087,4.616818906360588,0.05872544653780431,4.790416975381351,0.1262135922330097,11.506229894601026,1000,5,descriptive_pointwise_interval_not_familywise_test
