preprocessing,target_stimulus_candidate,target_onset_candidate_s,target_duration_s_assumption,match_evidence_scenario,heldout_record,cue_side,model,evaluation_window,window_start_s,window_stop_s,rmse_raw_units,nrmse_by_heldout_sd,correlation,n_train_records,n_train_record_cue_means,n_test_trials_in_cue_group,fit_parameters_train_only,response_channel_used
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Q2_visual_only,late_stage,0.8,2.8,59.23892418789179,1.690037383279962,0.08159295524422394,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Q2_visual_only,candidate_target_600ms,2.0,2.6,53.923758633695186,2.3834272411627184,-0.11029181528283448,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Q2_visual_only,cue_stage,0.0,0.8,110.26139130384595,1.5627900971735929,-0.14739504214136576,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Q2_visual_only,late_stage,0.8,2.8,196.3393780435036,4.53880673588964,-0.41464678829360224,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Q2_visual_only,candidate_target_600ms,2.0,2.6,221.71481992331718,6.7773471965953975,-0.658486171324811,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Q2_plus_memory,cue_stage,0.0,0.8,56.12668351466887,1.1178815904862927,0.2402578114778475,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Q2_plus_memory,late_stage,0.8,2.8,63.904705734724786,1.8231482617178474,-0.0013807523419977316,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Q2_plus_memory,candidate_target_600ms,2.0,2.6,69.63872721063059,3.078028009902145,-0.268574066074514,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Q2_plus_memory,cue_stage,0.0,0.8,102.1700502692067,1.4481074553870157,-0.014907790816597382,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Q2_plus_memory,late_stage,0.8,2.8,199.4692731181308,4.611160987944967,-0.5065484942003935,3,6,41,True,False
